date,type,time,name,room
2026-09-04,ISPIT,10:00,KRIMINALISTIČKA TAKTIKA,Učionica 1 - prizemlje
2026-09-04,ISPIT,10:00,KRIMINALISTIČKA METODIKA,Učionica 1 - prizemlje
2026-09-04,ISPIT,12:00,POSLOVNA MATEMATIKA,Amfiteatar 1
2026-09-04,ISPIT,12:00,POSLOVNA STATISTIKA,Amfiteatar 1
2026-09-04,ISPIT,12:00,MATEMATIKA 1 i 2,Amfiteatar 1
2026-09-04,ISPIT,09:00,MEHANIKA SA OTPORNOŠĆU MATERIJALA,Amfiteatar 1
2026-09-04,ISPIT,09:00,PROJEKTOVANJE KOMPONENTI SKLOPOVA MEHANIZAMA,Amfiteatar 1
2026-09-04,ISPIT,09:00,PNEUMATIKA I HIDRAULIKA,Amfiteatar 1
2026-09-04,ISPIT,14:00,RAZVOJ SOFTVERA,Učionica 2
2026-09-04,ISPIT,14:00,VJEŠTAČKA INTELIGENCIJA,Učionica 2
2026-09-04,ISPIT,15:00,SISTEMSKO PEOGRAMIRANJE,Učionica 2
2026-09-04,ISPIT,13:30,WEB DIZAJN,Učionica 2
2026-09-04,ISPIT,12:30,LOGISTIKA PROIZVODNJE,Amfiteatar 1
2026-09-04,ISPIT,12:30,MAŠINSKE KONSTRUKCIJE,Amfiteatar 1
2026-09-04,ISPIT,13:00,AUTOMATIKA I AUTOMATIZACIJA,Amfiteatar 1
2026-09-04,ISPIT,14:30,ALATI I PRIBORI,Amfiteatar 1
2026-09-04,ISPIT,14:00,TEHNOLOGIJE ZAVARIVANJA I TERMIČKE OBRATE,Amfiteatar 1
